education_level,experience,location,job_title,age,gender,salary
PhD,20,Rural,Technician,49,Female,63750
Bachelor's,3,Rural,Product Manager,33,Male,92862
High School,18,Urban,Customer Support,37,Male,38000
Master's,5,Urban,Product Manager,30,Female,130625
PhD,15,Rural,Software Engineer,56,Male,130156
Master's,20,Urban,Software Engineer,23,Female,154000
High School,30,Urban,Clerk,53,Female,40000
Master's,16,Suburban,Clerk,36,Female,37620
PhD,12,Urban,Customer Support,29,Female,50000
PhD,17,Suburban,Clerk,54,Female,43937
Master's,13,Rural,Product Manager,51,Female,146561
PhD,2,Suburban,Customer Support,23,Female,32656
Master's,27,Suburban,Software Engineer,25,Male,171902
Master's,27,Suburban,Marketing Executive,49,Female,85951
PhD,11,Urban,Marketing Executive,48,Male,67812
Master's,11,Suburban,Clerk,34,Male,32395
High School,19,Rural,Marketing Executive,43,Female,46410
High School,3,Urban,Clerk,47,Male,18400
Bachelor's,17,Suburban,Clerk,53,Female,35150
Master's,10,Urban,Clerk,37,Male,33000
Master's,21,Suburban,Customer Support,23,Female,53556
High School,21,Rural,Data Analyst,48,Male,83640
Bachelor's,15,Suburban,Data Scientist,54,Female,133000
High School,12,Rural,Director,25,Male,130560
PhD,26,Suburban,Marketing Executive,22,Female,95593
Bachelor's,24,Urban,Customer Support,54,Male,55000
Master's,8,Urban,Marketing Executive,36,Female,53900
Master's,12,Urban,Marketing Executive,58,Female,61600
PhD,2,Suburban,Technician,54,Male,39187
Master's,26,Suburban,Software Engineer,52,Female,168245
Bachelor's,29,Rural,Director,35,Female,249900
High School,27,Rural,Software Engineer,53,Male,111860
Master's,10,Urban,HR Manager,28,Male,90750
PhD,5,Rural,Clerk,29,Male,26562
High School,30,Rural,Product Manager,33,Female,161500
Bachelor's,25,Rural,Customer Support,55,Male,47812
PhD,27,Urban,Data Analyst,30,Female,176250
High School,7,Suburban,Clerk,54,Female,20520
High School,11,Suburban,Clerk,46,Male,23560
Master's,4,Urban,HR Manager,48,Male,72600
Bachelor's,18,Urban,HR Manager,29,Male,104500
Bachelor's,16,Suburban,Data Analyst,21,Male,102600
High School,15,Urban,Data Analyst,44,Male,84000
PhD,23,Suburban,Customer Support,59,Female,63828
High School,12,Rural,Software Engineer,28,Male,76160
Master's,22,Suburban,Customer Support,52,Male,54862
Master's,23,Urban,Data Analyst,57,Male,141900
Master's,17,Urban,Data Analyst,33,Female,122100
PhD,7,Rural,Product Manager,57,Female,136265
Master's,4,Rural,Data Analyst,60,Male,67320
High School,22,Rural,Clerk,25,Female,28560
Master's,2,Urban,Clerk,51,Male,24200
PhD,8,Suburban,Product Manager,49,Female,157937
Master's,11,Suburban,Customer Support,38,Female,40493
Master's,8,Suburban,Clerk,34,Female,29259
PhD,8,Rural,Data Scientist,25,Male,118999
Master's,26,Rural,Clerk,27,Female,43010
High School,23,Rural,Product Manager,52,Male,138890
PhD,27,Suburban,Technician,52,Male,83718
PhD,10,Urban,Data Scientist,55,Female,150000
Bachelor's,28,Urban,Marketing Executive,46,Female,84000
Bachelor's,18,Urban,Software Engineer,35,Male,133000
High School,11,Rural,Clerk,23,Female,21080
Bachelor's,11,Urban,Marketing Executive,46,Male,54250
PhD,5,Urban,Clerk,41,Male,31250
High School,30,Urban,Marketing Executive,42,Female,70000
PhD,6,Suburban,Director,53,Female,185250
PhD,12,Urban,Software Engineer,22,Male,140000
High School,19,Urban,Clerk,25,Male,31200
High School,18,Rural,Technician,55,Male,38760
PhD,23,Rural,Director,24,Female,274125
Master's,19,Rural,Director,41,Female,218790
Master's,4,Rural,Customer Support,41,Female,28050
High School,23,Rural,Data Scientist,37,Female,116960
Master's,6,Urban,Software Engineer,54,Female,100100
PhD,0,Rural,Software Engineer,54,Male,74375
High School,29,Suburban,HR Manager,54,Female,102410
Bachelor's,1,Urban,Data Analyst,48,Male,63000
PhD,24,Urban,Technician,60,Male,82500
Bachelor's,19,Urban,Software Engineer,37,Female,136500
PhD,2,Suburban,Data Analyst,44,Female,78375
High School,19,Urban,Software Engineer,47,Male,109200
High School,30,Suburban,Software Engineer,34,Female,133000
Master's,29,Rural,Clerk,43,Male,45815
PhD,26,Suburban,Software Engineer,47,Male,191187
High School,22,Suburban,Data Scientist,25,Female,127680
Bachelor's,1,Urban,Data Analyst,26,Female,63000
PhD,25,Rural,Software Engineer,56,Female,167343
Bachelor's,3,Suburban,HR Manager,21,Male,60087
Master's,29,Rural,Customer Support,45,Female,57268
PhD,28,Urban,HR Manager,39,Male,165000
High School,22,Suburban,Software Engineer,53,Male,111720
Bachelor's,17,Urban,Data Analyst,55,Male,111000
PhD,20,Suburban,Marketing Executive,33,Male,83125
High School,30,Rural,Data Analyst,35,Male,102000
Master's,10,Rural,Marketing Executive,45,Male,49087
PhD,25,Suburban,Data Analyst,25,Male,160312
Bachelor's,21,Rural,Technician,59,Female,52274
Bachelor's,5,Suburban,Customer Support,30,Female,29687
PhD,1,Suburban,Director,58,Female,149625
High School,15,Rural,Software Engineer,52,Male,83300
Bachelor's,23,Urban,Data Scientist,56,Female,172000
Bachelor's,10,Urban,Customer Support,21,Male,37500
Master's,24,Suburban,Marketing Executive,40,Male,80465
PhD,14,Suburban,Data Scientist,46,Female,161500
PhD,20,Urban,HR Manager,30,Female,137500
High School,10,Rural,Marketing Executive,34,Male,35700
High School,11,Suburban,Customer Support,31,Female,29450
Master's,13,Urban,Clerk,60,Male,36300
High School,18,Rural,Customer Support,58,Male,32300
Master's,21,Urban,HR Manager,42,Female,124025
Master's,21,Rural,Technician,44,Female,57502
Bachelor's,12,Suburban,Software Engineer,38,Male,106400
Master's,20,Urban,Data Scientist,45,Male,176000
PhD,4,Rural,Software Engineer,38,Male,89250
Master's,5,Suburban,HR Manager,46,Female,71843
Master's,3,Suburban,Technician,38,Female,36052
Bachelor's,23,Suburban,Data Analyst,26,Female,122550
Master's,10,Suburban,Marketing Executive,37,Female,54862
High School,21,Rural,Product Manager,39,Male,132430
High School,5,Urban,Data Analyst,28,Male,60000
High School,5,Urban,Data Scientist,40,Male,80000
PhD,9,Rural,Data Analyst,31,Female,92437
High School,10,Urban,Customer Support,31,Male,30000
High School,9,Urban,Software Engineer,51,Female,81200
PhD,25,Rural,Marketing Executive,52,Male,83671
High School,21,Rural,HR Manager,47,Female,76670
Master's,12,Rural,Customer Support,54,Female,37400
PhD,17,Suburban,Marketing Executive,32,Male,76890
Bachelor's,24,Urban,Product Manager,23,Male,209000
PhD,10,Rural,HR Manager,38,Male,87656
High School,14,Suburban,Customer Support,42,Male,32300
PhD,18,Urban,Technician,33,Male,71250
Master's,8,Rural,Marketing Executive,38,Male,45815
PhD,11,Rural,Product Manager,59,Female,156453
Master's,29,Rural,Data Scientist,58,Male,183260
Bachelor's,0,Suburban,Director,48,Male,114000
Bachelor's,24,Rural,Technician,53,Female,56100
Bachelor's,16,Suburban,Marketing Executive,40,Male,59850
PhD,29,Suburban,Software Engineer,37,Male,203656
Bachelor's,21,Urban,Customer Support,58,Male,51249
Master's,13,Suburban,Director,39,Male,206910
Master's,18,Rural,HR Manager,37,Male,97707
High School,25,Rural,Clerk,58,Female,30600
Bachelor's,5,Rural,Technician,57,Female,31875
PhD,25,Rural,Data Scientist,39,Female,191250
Bachelor's,23,Rural,Data Analyst,38,Male,109650
Bachelor's,4,Suburban,Software Engineer,23,Female,79800
PhD,13,Rural,Director,28,Male,210375
Bachelor's,5,Suburban,HR Manager,48,Male,65312
High School,26,Rural,Customer Support,29,Female,39100
Master's,20,Suburban,Data Scientist,52,Female,167200
Master's,0,Urban,Marketing Executive,34,Male,38500
PhD,30,Urban,Marketing Executive,29,Female,109375
PhD,6,Urban,Data Analyst,60,Male,97500
High School,17,Suburban,Software Engineer,48,Male,98420
Bachelor's,4,Suburban,Data Scientist,35,Female,91200
Master's,15,Urban,Data Scientist,26,Female,154000
High School,3,Rural,Clerk,57,Female,15639
Bachelor's,28,Rural,Data Scientist,29,Female,163200
Bachelor's,10,Suburban,Marketing Executive,22,Male,49875
High School,7,Urban,HR Manager,22,Female,59400
Bachelor's,30,Rural,Clerk,56,Male,42500
Bachelor's,1,Rural,Clerk,45,Female,17850
Bachelor's,27,Rural,HR Manager,53,Female,109862
Master's,19,Rural,Product Manager,42,Female,173208
PhD,29,Suburban,Data Analyst,23,Female,174562
PhD,18,Rural,Data Scientist,45,Male,161500
Bachelor's,24,Urban,Customer Support,42,Female,55000
High School,25,Rural,Customer Support,56,Male,38250
Bachelor's,29,Urban,Product Manager,43,Male,232750
High School,27,Rural,Marketing Executive,57,Male,55930
Master's,21,Rural,Marketing Executive,21,Female,67086
Bachelor's,1,Suburban,Director,22,Female,119700
Master's,23,Suburban,Data Scientist,50,Female,179740
PhD,5,Urban,Customer Support,37,Male,39062
High School,2,Urban,Customer Support,21,Male,22000
High School,28,Urban,Director,56,Male,230400
Bachelor's,1,Urban,HR Manager,57,Male,57750
Master's,0,Suburban,Product Manager,50,Female,99275
PhD,5,Urban,Data Scientist,33,Male,125000
Bachelor's,27,Suburban,Clerk,44,Male,44650
High School,25,Rural,Clerk,41,Male,30600
PhD,14,Urban,Customer Support,47,Male,53125
High School,23,Suburban,Technician,34,Male,49020
Bachelor's,5,Urban,Product Manager,60,Male,118750
Bachelor's,13,Urban,Customer Support,50,Male,41250
PhD,0,Urban,Product Manager,24,Female,118750
Master's,6,Suburban,Software Engineer,38,Female,95095
Master's,22,Suburban,Customer Support,53,Male,54862
PhD,6,Rural,Data Scientist,29,Male,110500
Bachelor's,4,Urban,Software Engineer,41,Male,84000
High School,6,Rural,Director,55,Female,106080
Bachelor's,27,Suburban,Director,44,Male,267900
PhD,26,Suburban,Marketing Executive,38,Male,95593
Bachelor's,23,Urban,Data Scientist,46,Male,172000
Master's,15,Suburban,Data Scientist,37,Male,146300
Bachelor's,4,Urban,Technician,41,Female,36000
PhD,9,Suburban,Director,28,Male,206625
Bachelor's,3,Rural,Software Engineer,39,Male,68425
High School,21,Suburban,Clerk,54,Female,31159
Bachelor's,20,Urban,Director,46,Female,240000
PhD,5,Rural,HR Manager,45,Female,73046
High School,30,Rural,Software Engineer,32,Male,119000
Master's,11,Urban,Software Engineer,57,Male,119350
High School,20,Urban,Marketing Executive,26,Male,56000
Bachelor's,30,Suburban,Customer Support,53,Female,59375
Bachelor's,2,Urban,Marketing Executive,58,Female,38500
PhD,3,Rural,Software Engineer,27,Female,85531
High School,13,Suburban,Marketing Executive,55,Female,43890
PhD,17,Suburban,Marketing Executive,50,Male,76890
Master's,12,Urban,Customer Support,31,Female,44000
Bachelor's,15,Rural,Director,24,Male,178500
Master's,23,Suburban,Director,43,Male,269610
Bachelor's,13,Rural,Data Scientist,33,Male,112200
High School,3,Suburban,HR Manager,50,Male,48069
High School,6,Rural,Data Scientist,25,Female,70720
Bachelor's,15,Suburban,Technician,34,Female,49875
PhD,27,Rural,Data Scientist,49,Male,199750
Master's,28,Urban,Technician,41,Female,79200
PhD,2,Rural,Data Scientist,38,Male,93500
High School,10,Urban,Data Analyst,40,Male,72000
High School,30,Urban,HR Manager,32,Male,110000
Bachelor's,6,Suburban,Data Analyst,53,Female,74100
PhD,18,Urban,HR Manager,53,Male,130625
Master's,7,Suburban,Clerk,38,Female,28215
Master's,25,Rural,Product Manager,59,Female,199856
Master's,8,Rural,Software Engineer,55,Male,91630
Bachelor's,24,Urban,Data Scientist,52,Female,176000
PhD,29,Urban,Data Analyst,24,Female,183750
High School,12,Rural,Marketing Executive,45,Male,38080
PhD,7,Rural,Clerk,32,Male,28687
High School,21,Suburban,Marketing Executive,26,Male,54529
Bachelor's,4,Rural,Technician,55,Female,30600
High School,17,Urban,Data Scientist,47,Male,118400
Bachelor's,22,Urban,Product Manager,46,Male,199500
PhD,14,Rural,Data Analyst,40,Female,108375
Bachelor's,17,Urban,Director,57,Male,222000
Master's,15,Urban,Marketing Executive,26,Male,67375
PhD,22,Suburban,HR Manager,44,Female,137156
Bachelor's,0,Rural,Clerk,45,Female,17000
PhD,26,Rural,Director,24,Female,293250
Bachelor's,19,Urban,Data Scientist,30,Male,156000
Bachelor's,6,Rural,Director,53,Male,132600
Bachelor's,20,Rural,Product Manager,26,Female,161500
PhD,28,Urban,Data Scientist,45,Male,240000
Bachelor's,15,Suburban,Technician,32,Female,49875
PhD,26,Urban,Clerk,58,Male,57499
Master's,18,Urban,Technician,24,Male,62700
Master's,24,Suburban,Product Manager,23,Female,218405
High School,21,Urban,Product Manager,36,Male,155800
PhD,17,Urban,Technician,22,Female,69375
Master's,12,Suburban,Data Scientist,41,Female,133760
Bachelor's,2,Suburban,HR Manager,30,Male,57475
Master's,24,Suburban,Data Scientist,24,Male,183920
High School,25,Urban,Product Manager,34,Male,171000
Master's,16,Rural,Product Manager,29,Female,159885
Master's,27,Urban,Clerk,57,Male,51700
Master's,10,Suburban,Data Analyst,50,Male,94050
PhD,26,Urban,HR Manager,29,Female,158125
High School,24,Urban,HR Manager,22,Female,96800
Master's,24,Urban,Technician,41,Male,72600
PhD,5,Suburban,HR Manager,42,Female,81640
High School,24,Suburban,Software Engineer,45,Male,117040
Master's,17,Suburban,Marketing Executive,38,Male,67663
High School,27,Suburban,Customer Support,40,Male,44650
High School,29,Urban,Software Engineer,22,Male,137200
Bachelor's,6,Urban,Software Engineer,41,Female,91000
Bachelor's,21,Suburban,Customer Support,45,Male,48687
PhD,1,Urban,Customer Support,50,Female,32812
High School,9,Suburban,HR Manager,58,Male,60610
PhD,19,Suburban,Clerk,31,Female,46312
Master's,5,Rural,Data Analyst,33,Female,70125
Bachelor's,13,Urban,Data Scientist,22,Female,132000
Master's,11,Rural,Software Engineer,59,Female,101447
Master's,5,Urban,Data Scientist,36,Male,110000
Bachelor's,16,Suburban,Clerk,58,Female,34200
Bachelor's,0,Urban,Data Scientist,25,Female,80000
High School,21,Suburban,Data Analyst,56,Male,93479
Master's,20,Urban,Customer Support,29,Male,55000
PhD,18,Suburban,Customer Support,24,Female,56406
Master's,6,Suburban,Director,57,Female,163020
High School,5,Urban,Data Scientist,21,Female,80000
High School,15,Rural,Marketing Executive,52,Female,41650
Master's,3,Rural,HR Manager,30,Female,59138
PhD,13,Suburban,Clerk,49,Female,39187
Master's,26,Rural,Software Engineer,56,Female,150535
Master's,14,Urban,Data Analyst,42,Female,112200
PhD,21,Urban,HR Manager,46,Male,140937
High School,26,Urban,Customer Support,43,Male,46000
High School,5,Rural,HR Manager,50,Female,46750
PhD,2,Suburban,Product Manager,26,Female,124093
High School,0,Suburban,Marketing Executive,56,Male,26600
Bachelor's,26,Rural,Marketing Executive,21,Female,68425
Bachelor's,5,Rural,Data Scientist,34,Male,85000
Master's,28,Suburban,HR Manager,47,Male,137940
PhD,22,Rural,Software Engineer,24,Male,156187
Bachelor's,17,Rural,Product Manager,58,Male,149387
PhD,29,Urban,Marketing Executive,54,Male,107187
Bachelor's,24,Suburban,Marketing Executive,54,Female,73150
High School,9,Urban,Customer Support,44,Female,29000
Master's,13,Suburban,Marketing Executive,30,Male,60348
PhD,19,Urban,Clerk,58,Male,48750
PhD,1,Urban,HR Manager,26,Female,72187
Master's,17,Urban,HR Manager,35,Female,111925
PhD,3,Urban,Director,37,Male,172500
PhD,18,Rural,HR Manager,52,Male,111031
PhD,16,Suburban,Data Scientist,29,Female,171000
Bachelor's,11,Rural,Product Manager,58,Female,125162
High School,14,Suburban,Software Engineer,34,Female,90440
Bachelor's,19,Suburban,HR Manager,21,Female,101887
Master's,28,Suburban,Marketing Executive,55,Female,87780
PhD,29,Rural,Clerk,44,Female,52062
High School,3,Suburban,Data Analyst,48,Male,52439
Bachelor's,6,Rural,HR Manager,59,Male,60775
Master's,4,Rural,Software Engineer,22,Male,78540
Master's,26,Rural,Clerk,57,Male,43010
Master's,13,Urban,Clerk,54,Female,36300
PhD,29,Rural,Product Manager,55,Female,247296
Bachelor's,18,Rural,HR Manager,23,Male,88825
High School,11,Suburban,Clerk,50,Male,23560
Master's,15,Rural,Director,58,Female,196350
PhD,21,Urban,Clerk,42,Female,51249
High School,30,Urban,Director,32,Male,240000
High School,25,Suburban,Data Analyst,34,Male,102600
High School,27,Rural,Software Engineer,33,Male,111860
Bachelor's,8,Rural,Software Engineer,57,Male,83300
Bachelor's,27,Urban,Marketing Executive,44,Female,82250
Master's,1,Rural,Marketing Executive,32,Male,34361
Bachelor's,5,Rural,HR Manager,40,Male,58437
PhD,18,Urban,Marketing Executive,22,Female,83125
Master's,29,Rural,Technician,44,Female,68722
Master's,7,Suburban,Clerk,45,Female,28215
Master's,2,Rural,Product Manager,41,Male,97707
Bachelor's,16,Urban,Director,45,Male,216000
PhD,6,Suburban,Director,30,Male,185250
High School,25,Suburban,Marketing Executive,52,Male,59850
PhD,11,Rural,Clerk,56,Male,32937
High School,13,Rural,Marketing Executive,50,Male,39270
Bachelor's,2,Suburban,Technician,23,Female,31350
Master's,4,Urban,Director,27,Female,158400
Master's,21,Rural,Data Analyst,21,Female,115004
Bachelor's,14,Urban,Technician,36,Male,51000
Bachelor's,24,Rural,Technician,24,Female,56100
PhD,25,Rural,Clerk,59,Male,47812
Master's,4,Rural,Customer Support,40,Female,28050
Bachelor's,29,Urban,Data Scientist,38,Female,196000
PhD,12,Suburban,Technician,30,Female,57000
High School,12,Suburban,Product Manager,24,Female,115520
High School,28,Urban,HR Manager,52,Male,105600
PhD,12,Rural,Data Scientist,30,Male,136000
PhD,15,Urban,Marketing Executive,59,Female,76562
PhD,29,Rural,Customer Support,36,Female,65078
PhD,2,Suburban,Data Scientist,31,Female,104500
Bachelor's,29,Suburban,Software Engineer,54,Female,162925
PhD,24,Suburban,HR Manager,49,Female,143687
Master's,6,Urban,Software Engineer,26,Male,100100
High School,12,Rural,Customer Support,58,Female,27200
High School,24,Rural,Software Engineer,24,Female,104720
High School,8,Rural,Director,54,Male,114240
Master's,17,Rural,Clerk,52,Male,34595
PhD,11,Urban,Clerk,27,Female,38750
High School,22,Urban,Data Scientist,32,Male,134400
Bachelor's,27,Rural,Customer Support,47,Female,49937
Master's,14,Suburban,Software Engineer,58,Male,124355
Bachelor's,21,Urban,Clerk,22,Female,41000
PhD,27,Rural,Director,53,Male,299625
PhD,11,Suburban,Data Scientist,57,Male,147250
High School,11,Urban,Software Engineer,48,Female,86800
Bachelor's,4,Rural,Director,25,Male,122400
Master's,30,Rural,Director,33,Male,280500
PhD,30,Rural,Director,44,Female,318750
Bachelor's,6,Urban,Technician,37,Female,39000
High School,9,Suburban,Director,56,Female,132240
High School,13,Urban,Data Scientist,48,Male,105600
Master's,11,Urban,Customer Support,35,Female,42625
Master's,12,Suburban,Data Analyst,26,Male,100320
Master's,8,Suburban,Software Engineer,54,Female,102410
Bachelor's,27,Suburban,Software Engineer,60,Male,156275
High School,20,Suburban,Data Scientist,24,Male,121600
High School,20,Urban,Data Analyst,47,Male,96000
PhD,12,Urban,Technician,49,Male,60000
Master's,18,Suburban,Customer Support,49,Female,49637
PhD,3,Suburban,Clerk,48,Male,27312
Bachelor's,0,Urban,Software Engineer,25,Male,70000
High School,10,Rural,Product Manager,36,Male,96900
High School,13,Urban,Clerk,41,Female,26400
Master's,8,Urban,Data Scientist,48,Female,123199
Bachelor's,10,Rural,Data Analyst,51,Male,76500
PhD,30,Suburban,Product Manager,31,Female,282031
PhD,6,Suburban,Technician,55,Male,46312
High School,6,Urban,Director,24,Male,124800
High School,8,Urban,Software Engineer,51,Male,78400
Master's,23,Rural,Technician,28,Female,60307
PhD,3,Rural,HR Manager,51,Female,67203
Master's,23,Urban,Marketing Executive,56,Male,82775
PhD,15,Rural,Product Manager,54,Female,176640
PhD,21,Suburban,Data Scientist,51,Female,194749
Master's,23,Rural,Customer Support,27,Male,50256
PhD,26,Urban,HR Manager,60,Male,158125
High School,28,Suburban,Data Scientist,36,Female,145920
PhD,24,Urban,Customer Support,26,Female,68750
PhD,26,Urban,HR Manager,58,Male,158125
PhD,9,Suburban,Marketing Executive,40,Female,60265
High School,24,Suburban,Data Scientist,51,Female,133760
High School,17,Rural,Product Manager,27,Female,119510
Bachelor's,1,Urban,Product Manager,57,Female,99750
High School,29,Suburban,Product Manager,26,Male,176890
PhD,18,Suburban,Technician,41,Female,67687
High School,15,Suburban,Technician,40,Male,39900
PhD,18,Rural,Director,31,Male,242250
Bachelor's,28,Suburban,HR Manager,32,Male,125400
Master's,29,Urban,Data Analyst,58,Female,161700
High School,20,Rural,Clerk,60,Female,27200
Bachelor's,10,Rural,Software Engineer,44,Male,89250
Master's,12,Suburban,Director,37,Male,200640
Master's,6,Urban,Clerk,25,Female,28600
High School,8,Suburban,Data Scientist,34,Male,85120
High School,2,Urban,Software Engineer,24,Male,61600
PhD,17,Suburban,Marketing Executive,35,Female,76890
PhD,7,Urban,Customer Support,45,Male,42187
Bachelor's,7,Suburban,Director,54,Female,153900
Bachelor's,5,Rural,Product Manager,43,Female,100937
Bachelor's,23,Urban,HR Manager,47,Female,118250
PhD,10,Urban,Director,51,Male,225000
Bachelor's,22,Urban,Data Scientist,24,Male,168000
Bachelor's,10,Rural,Technician,22,Female,38250
High School,25,Urban,Product Manager,30,Female,171000
High School,11,Urban,HR Manager,25,Female,68200
Bachelor's,13,Urban,Product Manager,27,Female,156750
PhD,16,Suburban,Customer Support,41,Female,53437
PhD,11,Suburban,Product Manager,21,Male,174859
Bachelor's,15,Suburban,HR Manager,27,Male,91437
High School,30,Rural,Technician,36,Male,51000
Master's,24,Suburban,Marketing Executive,40,Male,80465
Master's,26,Rural,Software Engineer,39,Male,150535
Master's,24,Urban,Clerk,24,Male,48400
Master's,22,Suburban,HR Manager,27,Female,120697
PhD,4,Suburban,Customer Support,45,Male,35625
Bachelor's,5,Rural,Customer Support,54,Female,26562
PhD,23,Rural,HR Manager,54,Female,125640
High School,30,Urban,Technician,49,Female,60000
Master's,0,Suburban,Marketing Executive,57,Female,36575
High School,12,Suburban,Software Engineer,46,Male,85120
Bachelor's,6,Urban,Clerk,41,Male,26000
Master's,20,Suburban,Software Engineer,22,Female,146300
PhD,5,Suburban,Data Analyst,58,Female,89062
Master's,7,Rural,Marketing Executive,32,Female,44178
Bachelor's,9,Suburban,Technician,44,Male,41325
High School,24,Rural,Data Analyst,38,Female,89760
High School,6,Urban,Clerk,56,Female,20800
High School,5,Rural,Clerk,33,Male,17000
High School,8,Rural,HR Manager,25,Female,52360
Master's,27,Rural,Software Engineer,53,Male,153807
Master's,30,Rural,Clerk,32,Female,46750
Bachelor's,6,Rural,Customer Support,43,Female,27625
Bachelor's,6,Rural,Director,29,Male,132600
Master's,29,Suburban,Clerk,36,Male,51205
Bachelor's,24,Rural,Product Manager,35,Female,177650
Bachelor's,17,Urban,Marketing Executive,51,Female,64750
Bachelor's,12,Suburban,Data Scientist,38,Female,121600
PhD,24,Suburban,Marketing Executive,60,Male,91437
PhD,4,Urban,Customer Support,52,Female,37500
Bachelor's,8,Rural,HR Manager,38,Male,65449
Bachelor's,26,Rural,Marketing Executive,46,Female,68425
PhD,0,Suburban,Product Manager,45,Male,112812
PhD,7,Urban,Clerk,45,Male,33750
Master's,8,Urban,Clerk,50,Female,30799
PhD,4,Rural,Technician,28,Male,38250
PhD,9,Rural,Data Scientist,41,Male,123250
Bachelor's,29,Urban,HR Manager,27,Female,134750
High School,0,Urban,Marketing Executive,32,Male,28000
PhD,25,Rural,Marketing Executive,51,Female,83671
Master's,16,Urban,Data Analyst,54,Male,118800
Bachelor's,17,Urban,Marketing Executive,28,Female,64750
PhD,17,Rural,Marketing Executive,29,Female,68796
Master's,29,Suburban,Product Manager,41,Female,243223
High School,20,Urban,Data Analyst,26,Male,96000
Master's,10,Urban,Data Analyst,34,Female,99000
High School,20,Urban,Director,34,Female,192000
Master's,19,Urban,Director,56,Female,257400
Bachelor's,2,Rural,Software Engineer,37,Male,65450
Bachelor's,15,Urban,HR Manager,24,Male,96250
Bachelor's,21,Suburban,Technician,56,Female,58424
Bachelor's,13,Suburban,Product Manager,28,Female,148912
PhD,9,Suburban,Data Analyst,35,Female,103312
Master's,11,Rural,Marketing Executive,60,Female,50723
High School,26,Urban,HR Manager,36,Female,101199
High School,4,Suburban,Data Analyst,37,Male,54720
PhD,23,Rural,Customer Support,31,Female,57109
Bachelor's,5,Suburban,HR Manager,48,Male,65312
Master's,1,Suburban,HR Manager,29,Female,60348
Master's,18,Suburban,Software Engineer,53,Female,138985
PhD,8,Urban,Data Scientist,58,Male,140000
Bachelor's,0,Rural,Data Scientist,49,Female,68000
Master's,10,Suburban,Marketing Executive,30,Female,54862
Master's,21,Suburban,Technician,38,Female,64267
High School,1,Rural,Data Scientist,28,Male,57120
Bachelor's,24,Rural,Data Scientist,39,Female,149600
High School,26,Urban,Director,32,Male,220799
PhD,0,Suburban,HR Manager,39,Male,65312
Master's,19,Urban,HR Manager,21,Male,117975
PhD,28,Suburban,Marketing Executive,29,Female,99750
Master's,2,Urban,Data Analyst,59,Male,72600
Bachelor's,19,Rural,Director,23,Female,198900
PhD,19,Urban,Technician,59,Female,73125
Master's,10,Rural,Technician,52,Male,42075
Bachelor's,4,Suburban,Data Analyst,44,Male,68400
PhD,25,Suburban,Product Manager,21,Male,253828
PhD,8,Urban,Marketing Executive,54,Female,61249
High School,28,Rural,Data Analyst,36,Male,97920
PhD,4,Rural,Customer Support,28,Male,31875
Master's,8,Rural,Clerk,46,Female,26180
PhD,6,Rural,Technician,32,Female,41437
Master's,30,Suburban,Data Analyst,30,Male,156750
Bachelor's,19,Suburban,Data Scientist,57,Male,148200
Bachelor's,23,Rural,Data Analyst,54,Female,109650
PhD,30,Urban,Marketing Executive,44,Female,109375
High School,12,Urban,Clerk,22,Female,25600
PhD,14,Suburban,Clerk,52,Female,40375
High School,1,Urban,Data Scientist,46,Male,67200
PhD,29,Suburban,Data Analyst,33,Male,174562
PhD,27,Urban,Data Scientist,29,Male,235000
PhD,0,Rural,Clerk,53,Male,21250
High School,28,Rural,Clerk,48,Male,32640
Master's,18,Suburban,HR Manager,58,Male,109202
High School,22,Urban,Clerk,30,Male,33600
PhD,5,Suburban,Data Scientist,25,Male,118750
Master's,15,Suburban,HR Manager,52,Female,100581
PhD,9,Urban,Customer Support,25,Male,45312
PhD,12,Rural,Clerk,24,Female,34000
High School,25,Suburban,Data Analyst,47,Female,102600
Bachelor's,3,Rural,Customer Support,59,Female,24437
Bachelor's,5,Rural,Data Analyst,37,Male,63750
High School,26,Rural,Product Manager,32,Male,148580
High School,21,Urban,Data Scientist,58,Female,131200
PhD,16,Rural,Technician,59,Female,57375
Bachelor's,28,Urban,Clerk,35,Male,48000
PhD,17,Suburban,Marketing Executive,30,Female,76890
High School,11,Suburban,Software Engineer,59,Female,82460
PhD,2,Suburban,Marketing Executive,55,Male,45718
High School,3,Rural,Data Analyst,32,Female,46920
Master's,17,Rural,Product Manager,58,Male,164326
Bachelor's,23,Rural,Product Manager,22,Male,173612
High School,16,Suburban,HR Manager,38,Female,75240
Master's,13,Urban,Data Scientist,54,Female,145200
Master's,13,Suburban,Data Analyst,55,Female,103455
Master's,0,Suburban,HR Manager,58,Female,57475
PhD,16,Suburban,Customer Support,24,Female,53437
Bachelor's,13,Rural,Director,29,Male,168300
Bachelor's,1,Suburban,Customer Support,21,Male,24937
Master's,18,Rural,Customer Support,25,Female,44412
Master's,7,Suburban,Product Manager,58,Male,134021
Bachelor's,14,Suburban,Data Analyst,44,Female,96900
Bachelor's,6,Rural,Product Manager,33,Male,104975
High School,20,Rural,Marketing Executive,21,Male,47600
PhD,6,Suburban,HR Manager,33,Female,84906
Master's,21,Suburban,Customer Support,41,Female,53556
Bachelor's,13,Rural,Clerk,32,Male,28050
High School,26,Rural,Product Manager,22,Female,148580
High School,16,Rural,Marketing Executive,35,Female,42840
High School,15,Urban,Director,54,Female,168000
